E_BROC_DESC,2012-13 - EXPORT,2012-13 - IMPORT,2013-14 - EXPORT,2013-14 - IMPORT,2014-15 - EXPORT,2014-15 - IMPORT,2015-16(Apr-Sep) - EXPORT,2015-16(Apr-Sep) - IMPORT
"AC, REFRIGERATION MACHNRY ETC",30.49,1021.27,25.64,986.14,34.57,1099.55,13.65,496.44
ACCUMULATORS AND BATTERIES,1.63,343.07,2.89,441.98,2.06,321.39,0.09,223.18
AGRO CHEMICALS,52.49,243.53,53.03,317.73,47.44,412.22,22.89,236.89
"AIRCRAFT, SPACECRAFT AND PARTS",9.62,1.27,411.19,16.51,157.75,23.59,6.43,3.10
ALCOHOLIC BEVERAGES,0.52,1.27,0.43,1.14,0.52,0.14,0.30,0.13
"ALUMINIUM, PRODUCTS OF ALUMINM",15.56,528.56,88.16,569.96,24.12,746.29,2.83,381.08
"ATM, INJCTNG MLDING MCHNRY ETC",41.28,253.90,59.08,262.45,59.67,208.00,28.92,102.64
AUTO COMPONENTS/PARTS,63.63,633.49,89.97,720.01,89.97,940.90,34.51,454.08
AUTO TYRES AND TUBES,0.40,89.07,0.61,105.19,1.71,160.63,0.30,122.87
AYUSH AND HERBAL PRODUCTS,3.55,0.43,5.17,0.38,6.49,0.40,3.15,0.41
BICYCLE AND PARTS,1.12,291.27,0.46,218.80,0.79,173.58,0.14,69.45
"BOOKS, PUBLICATIONS AND PRNTNG",0.35,23.48,0.41,26.46,0.54,20.94,0.18,29.58
BUFFALO MEAT,5.14,NA,NA,NA,0.24,NA,NA,NA
"BULK DRUGS, DRUG INTERMEDIATES",107.45,2009.88,98.77,2000.39,111.37,2088.31,60.12,1145.57
BULK MINERALS AND ORES,190.49,4.23,218.56,10.97,244.96,26.62,138.05,1.97
CARPET(EXCL. SILK) HANDMADE,6.32,13.45,7.07,14.27,9.64,20.10,6.26,9.04
CASHEW,NA,0.00,0.00,NA,0.47,0.00,0.26,NA
CASHEW NUT SHELL LIQUID,0.39,0.00,1.36,0.30,1.52,1.21,0.02,0.13
CASTOR OIL,323.11,0.07,280.42,0.15,215.98,0.16,129.38,NA
CERAMICS AND ALLIED PRODUCTS,7.27,565.62,4.87,481.42,7.64,612.78,0.81,321.13
CEREAL PREPARATIONS,0.18,8.16,0.39,6.93,0.08,11.54,0.09,4.22
"CMNT, CLINKR AND ASBSTOS CMNT",0.13,19.08,0.10,7.29,0.07,7.37,0.31,3.62
